Rank,Player,Team,Pos,Game,Spread,O/U,Final_Proj,Ceiling,Floor,Std_Dev,Ownership,Leverage,Status,Notes
1,Nikola Jokic,DEN,C,CLE @ DEN,CLE -1.5,237.5,61.5,72,48,8.2,87%,CHALK,ACTIVE,Gordon OUT - Mobley OUT - Elite scorer in high O/U game
2,Donovan Mitchell,CLE,G,CLE @ DEN,CLE -1.5,237.5,52.1,68,38,9.1,72%,STACK,ACTIVE,Harden 2nd game integration - high usage in pace environment
3,James Harden,CLE,G,CLE @ DEN,CLE -1.5,237.5,48.7,62,35,7.8,58%,LEVERAGE,ACTIVE,Underowned vs Mitchell/Jokic - same stack, different leverage
4,Cade Cunningham,DET,G,DET @ CHA,DET -2.5,223.5,45.2,54,35,7.5,58%,NEUTRAL,ACTIVE,Jalen Johnson GTD allows Cunningham promotion - tight game extended minutes
5,Anthony Edwards,MIN,G,ATL @ MIN,MIN -6.5,237.5,48.2,58,35,9.4,68%,FADE,ACTIVE,High projection BUT 1-for-8 shooter variance + B2B fatigue = overowned
6,Jamal Murray,DEN,G,CLE @ DEN,CLE -1.5,237.5,42.8,52,28,8.1,52%,GTD,GTD,Hip GTD confidence 75% - if clears: strong ceiling in pace game
7,Bam Adebayo,MIA,C,UTA @ MIA,MIA -8.5,242.5,39.1,48,28,7.2,38%,UNDEROWNED,ACTIVE,BEST MATCHUP ON SLATE - UTA allows 126.7 PPG to centers - underowned gem
8,Julius Randle,MIN,PF,ATL @ MIN,MIN -6.5,237.5,38.1,47,28,7.6,45%,NEUTRAL,ACTIVE,Fast pace + 22.1 PPG baseline = reliable floor in 237.5 O/U game
9,Norman Powell,MIA,G,UTA @ MIA,MIA -8.5,242.5,38.9,48,22,7.9,41%,GTD,GTD,Back GTD but high ceiling if plays - blowout risk real but if competitive game strong
10,Lauri Markkanen,UTA,C,UTA @ MIA,MIA -8.5,242.5,37.2,48,24,8.3,55%,FADE,ACTIVE,BLOWOUT RISK MIA -8.5 - will get benched 4Q - overowned for ceiling risk
11,Rudy Gobert,MIN,C,ATL @ MIN,MIN -6.5,237.5,35.4,45,26,6.8,33%,UNDEROWNED,ACTIVE,HIDDEN VALUE - 69.6% FG elite efficiency - fast pace rebound opportunities - very low ownership
12,Paolo Banchero,ORL,F,MIL @ ORL,ORL -10.5,218.5,36.5,46,25,7.8,49%,AVOID,ACTIVE,Lowest O/U on slate (218.5) = lowest ceiling - avoid vs higher O/U plays
13,Anfernee Simons,CHI,G,CHI @ BKN,CHI -3.5,223.5,30.8,40,22,6.2,48%,NEUTRAL,ACTIVE,Fresh trade from BOS - 30+ in 2 games - BKN allows 126+ PPG
14,Jalen Suggs,ORL,G,MIL @ ORL,ORL -10.5,218.5,31.2,40,22,6.1,62%,FADE,ACTIVE,FADE - 62% ownership for 31.2 FP in lowest O/U game = poor leverage
15,Trey Murphy III,NOP,G,SAC @ NOP,TBD,~215,32.1,42,22,6.4,52%,NEUTRAL,ACTIVE,30+ FP in 21 of last 21 games - reliable in value game - Sabonis OUT helps spacing
16,Josh Giddey,CHI,G,CHI @ BKN,CHI -3.5,223.5,29.3,38,18,6.1,38%,GTD,GTD,Hamstring GTD confidence 75% - if plays solid leverage vs BKN weak D
